job_idx,rank,cv_id,candidate,experience_years,nb_skills,matched_skills,keyword_score,skills_score,experience_score,global_score,label,job_snippet
5,1,1,Candidat_1,2,19,"python, java, javascript, react, angular, node, django, flask",81.29,15.79,60.0,57.38,🔶 À évaluer,Mission passionnante pour un Ingénieur Cloud & DevOps chez un éditeur de logicie...
5,2,2,Candidat_2,3,9,"sql, java, angular, kafka, git, postgresql, mysql, api",49.14,0.0,60.0,36.57,❌ Écarté,Mission passionnante pour un Ingénieur Cloud & DevOps chez un éditeur de logicie...
5,3,5,Candidat_5,1,3,"machine learning, deep learning, devops",10.2,33.33,60.0,27.1,❌ Écarté,Mission passionnante pour un Ingénieur Cloud & DevOps chez un éditeur de logicie...
5,4,4,Candidat_4,2,15,"sql, java, javascript, typescript, react, node, docker, aws",12.48,6.67,60.0,20.24,❌ Écarté,Mission passionnante pour un Ingénieur Cloud & DevOps chez un éditeur de logicie...
5,5,3,Candidat_3,4,14,"python, sql, java, linux, machine learning, scikit-learn, pandas, power bi",12.81,0.0,60.0,18.41,❌ Écarté,Mission passionnante pour un Ingénieur Cloud & DevOps chez un éditeur de logicie...
6,1,1,Candidat_1,5,10,"python, sql, azure, nlp, pandas, power bi, mysql, data analyst",58.99,40.0,60.0,53.5,🔶 À évaluer,Mission passionnante pour un Data Analyst expérimenté chez un acteur majeur de l...
6,2,2,Candidat_2,7,2,"vue, git",0.67,50.0,60.0,27.34,❌ Écarté,Mission passionnante pour un Data Analyst expérimenté chez un acteur majeur de l...
6,3,4,Candidat_4,5,8,"sql, angular, docker, azure, devops, agile, scrum, microservices",9.0,12.5,60.0,20.25,❌ Écarté,Mission passionnante pour un Data Analyst expérimenté chez un acteur majeur de l...
6,4,3,Candidat_3,2,10,"sql, java, react, angular, docker, devops, ci/cd, agile",8.63,10.0,60.0,19.32,❌ Écarté,Mission passionnante pour un Data Analyst expérimenté chez un acteur majeur de l...
6,5,5,Candidat_5,1,3,"machine learning, deep learning, devops",9.43,0.0,60.0,16.71,❌ Écarté,Mission passionnante pour un Data Analyst expérimenté chez un acteur majeur de l...
7,1,1,Candidat_1,5,10,"python, sql, azure, nlp, pandas, power bi, mysql, data analyst",44.31,40.0,60.0,46.16,🔶 À évaluer,Mission passionnante pour un Data Scientist chez notre entreprise. Nous recherch...
7,2,3,Candidat_3,5,5,"python, machine learning, deep learning, computer vision, data science",18.56,60.0,60.0,39.28,❌ Écarté,Mission passionnante pour un Data Scientist chez notre entreprise. Nous recherch...
7,3,5,Candidat_5,1,3,"machine learning, deep learning, devops",18.85,33.33,60.0,31.42,❌ Écarté,Mission passionnante pour un Data Scientist chez notre entreprise. Nous recherch...
7,4,4,Candidat_4,6,8,"kubernetes, aws, azure, terraform, git, machine learning, mlops, devops",11.89,25.0,60.0,25.45,❌ Écarté,Mission passionnante pour un Data Scientist chez notre entreprise. Nous recherch...
7,5,2,Candidat_2,18,25,"python, sql, java, javascript, react, angular, django, docker",11.48,20.0,60.0,23.74,❌ Écarté,Mission passionnante pour un Data Scientist chez notre entreprise. Nous recherch...
8,1,5,Candidat_5,6,10,"sql, react, docker, git, redis, mysql, agile, scrum",60.4,20.0,60.0,48.2,🔶 À évaluer,Votre prochain défi professionnel est chez notre entreprise en tant que Data Sci...
8,2,2,Candidat_2,1,7,"python, sql, git, pandas, numpy, power bi, data analyst",25.77,71.43,60.0,46.31,🔶 À évaluer,Votre prochain défi professionnel est chez notre entreprise en tant que Data Sci...
8,3,1,Candidat_1,1,4,"python, machine learning, nlp, data science",21.99,50.0,60.0,37.99,❌ Écarté,Votre prochain défi professionnel est chez notre entreprise en tant que Data Sci...
8,4,3,Candidat_3,0,9,"python, machine learning, deep learning, oracle, data science, data analyst, data engineer, agile",21.4,22.22,20.0,21.37,❌ Écarté,Votre prochain défi professionnel est chez notre entreprise en tant que Data Sci...
8,5,4,Candidat_4,3,10,"sql, node, docker, azure, terraform, linux, excel, postgresql",5.33,20.0,60.0,20.66,❌ Écarté,Votre prochain défi professionnel est chez notre entreprise en tant que Data Sci...
9,1,1,Candidat_1,1,18,"python, sql, java, flask, docker, gcp, machine learning, deep learning",21.32,38.89,60.0,34.33,❌ Écarté,Votre prochain défi professionnel se trouve dans un environnement où la science ...
9,2,4,Candidat_4,2,4,"git, machine learning, rest, llm",2.46,50.0,60.0,28.23,❌ Écarté,Votre prochain défi professionnel se trouve dans un environnement où la science ...
9,3,2,Candidat_2,20,23,"sql, java, javascript, react, angular, node, kafka, docker",4.82,26.09,60.0,22.24,❌ Écarté,Votre prochain défi professionnel se trouve dans un environnement où la science ...
9,4,3,Candidat_3,20,23,"sql, java, javascript, react, angular, node, kafka, docker",4.82,26.09,60.0,22.24,❌ Écarté,Votre prochain défi professionnel se trouve dans un environnement où la science ...
9,5,5,Candidat_5,4,2,"react, elasticsearch",13.08,0.0,60.0,18.54,❌ Écarté,Votre prochain défi professionnel se trouve dans un environnement où la science ...
10,1,1,Candidat_1,5,10,"python, sql, azure, nlp, pandas, power bi, mysql, data analyst",38.17,10.0,60.0,34.09,❌ Écarté,Mission passionnante pour un étudiant en Master d'Économétrie et Statistique App...
10,2,2,Candidat_2,2,6,"angular, machine learning, deep learning, nlp, data science, devops",19.12,33.33,60.0,31.56,❌ Écarté,Mission passionnante pour un étudiant en Master d'Économétrie et Statistique App...
10,3,5,Candidat_5,2,2,"python, oracle",3.23,50.0,60.0,28.61,❌ Écarté,Mission passionnante pour un étudiant en Master d'Économétrie et Statistique App...
10,4,3,Candidat_3,7,4,"java, angular, api, rest",25.68,0.0,60.0,24.84,❌ Écarté,Mission passionnante pour un étudiant en Master d'Économétrie et Statistique App...
10,5,4,Candidat_4,30,12,"sql, java, typescript, angular, docker, kubernetes, git, ci/cd",5.07,0.0,60.0,14.54,❌ Écarté,Mission passionnante pour un étudiant en Master d'Économétrie et Statistique App...
11,1,3,Candidat_3,2,19,"python, java, javascript, react, angular, node, django, flask",59.75,5.26,60.0,43.45,❌ Écarté,Mission passionnante pour un Data Scientist en économétrie et statistique appliq...
11,2,1,Candidat_1,5,10,"python, sql, azure, nlp, pandas, power bi, mysql, data analyst",48.85,20.0,60.0,42.42,❌ Écarté,Mission passionnante pour un Data Scientist en économétrie et statistique appliq...
11,3,2,Candidat_2,2,5,"python, machine learning, computer vision, data science, rest",15.97,60.0,60.0,37.98,❌ Écarté,Mission passionnante pour un Data Scientist en économétrie et statistique appliq...
11,4,4,Candidat_4,2,1,rest,0.87,0.0,60.0,12.44,❌ Écarté,Mission passionnante pour un Data Scientist en économétrie et statistique appliq...
11,5,5,Candidat_5,2,16,"sql, java, javascript, typescript, react, angular, node, aws",0.86,0.0,60.0,12.43,❌ Écarté,Mission passionnante pour un Data Scientist en économétrie et statistique appliq...
12,1,1,Candidat_1,5,10,"python, sql, azure, nlp, pandas, power bi, mysql, data analyst",43.52,20.0,60.0,39.76,❌ Écarté,Votre prochain défi professionnel est chez notre entreprise en tant que Data Sci...
12,2,5,Candidat_5,1,3,"machine learning, deep learning, devops",13.51,33.33,60.0,28.75,❌ Écarté,Votre prochain défi professionnel est chez notre entreprise en tant que Data Sci...
12,3,4,Candidat_4,3,7,"django, kafka, airflow, machine learning, deep learning, data science, data engineer",12.54,28.57,60.0,26.84,❌ Écarté,Votre prochain défi professionnel est chez notre entreprise en tant que Data Sci...
12,4,2,Candidat_2,3,3,"python, aws, api",7.74,33.33,60.0,25.87,❌ Écarté,Votre prochain défi professionnel est chez notre entreprise en tant que Data Sci...
12,5,3,Candidat_3,1,11,"sql, java, angular, django, git, postgresql, mongodb, agile",14.3,18.18,60.0,24.6,❌ Écarté,Votre prochain défi professionnel est chez notre entreprise en tant que Data Sci...
13,1,1,Candidat_1,0,4,"excel, elasticsearch, devops, ci/cd",49.75,50.0,20.0,43.88,❌ Écarté,Votre prochain défi professionnel se trouve dans un poste stratégique en Edge AI...
13,2,5,Candidat_5,1,3,"machine learning, deep learning, devops",12.3,66.67,60.0,38.15,❌ Écarté,Votre prochain défi professionnel se trouve dans un poste stratégique en Edge AI...
13,3,2,Candidat_2,3,9,"python, sql, git, machine learning, deep learning, power bi, excel, data science",11.73,44.44,60.0,31.2,❌ Écarté,Votre prochain défi professionnel se trouve dans un poste stratégique en Edge AI...
13,4,4,Candidat_4,2,4,"git, machine learning, rest, llm",3.84,50.0,60.0,28.92,❌ Écarté,Votre prochain défi professionnel se trouve dans un poste stratégique en Edge AI...
13,5,3,Candidat_3,4,6,"python, docker, aws, terraform, data science, devops",2.3,50.0,60.0,28.15,❌ Écarté,Votre prochain défi professionnel se trouve dans un poste stratégique en Edge AI...
14,1,1,Candidat_1,1,5,"java, node, oracle, agile, scrum",64.61,40.0,60.0,56.3,🔶 À évaluer,Mission passionnante pour un développeur web expérimenté ! Nous recherchons un e...
14,2,2,Candidat_2,3,4,"git, agile, api, rest",3.76,50.0,60.0,28.88,❌ Écarté,Mission passionnante pour un développeur web expérimenté ! Nous recherchons un e...
14,3,3,Candidat_3,3,7,"sql, react, angular, git, mysql, api, rest",16.26,28.57,60.0,28.7,❌ Écarté,Mission passionnante pour un développeur web expérimenté ! Nous recherchons un e...
14,4,4,Candidat_4,4,3,"git, nlp, rest",5.71,33.33,60.0,24.85,❌ Écarté,Mission passionnante pour un développeur web expérimenté ! Nous recherchons un e...
14,5,5,Candidat_5,1,3,"machine learning, deep learning, devops",8.86,0.0,60.0,16.43,❌ Écarté,Mission passionnante pour un développeur web expérimenté ! Nous recherchons un e...
15,1,2,Candidat_2,4,7,"sql, angular, excel, agile, scrum, api, rest",60.42,57.14,60.0,59.35,🔶 À évaluer,Votre prochain défi professionnel chez une entreprise dynamique en tant que Seni...
15,2,1,Candidat_1,2,19,"python, java, javascript, react, angular, node, django, flask",68.89,42.11,60.0,59.08,🔶 À évaluer,Votre prochain défi professionnel chez une entreprise dynamique en tant que Seni...
15,3,3,Candidat_3,11,6,"typescript, react, node, git, agile, api",6.53,50.0,60.0,30.27,❌ Écarté,Votre prochain défi professionnel chez une entreprise dynamique en tant que Seni...
15,4,5,Candidat_5,1,3,"machine learning, deep learning, devops",13.68,33.33,60.0,28.84,❌ Écarté,Votre prochain défi professionnel chez une entreprise dynamique en tant que Seni...
15,5,4,Candidat_4,2,6,"python, sql, spark, hadoop, power bi, data analyst",10.78,16.67,60.0,22.39,❌ Écarté,Votre prochain défi professionnel chez une entreprise dynamique en tant que Seni...
16,1,3,Candidat_3,9,10,"python, java, javascript, django, flask, azure, machine learning, data science",17.03,50.0,60.0,35.52,❌ Écarté,Votre prochain défi professionnel se trouve dans un poste stratégique en dévelop...
16,2,2,Candidat_2,2,4,"java, angular, vue, git",15.68,50.0,60.0,34.84,❌ Écarté,Votre prochain défi professionnel se trouve dans un poste stratégique en dévelop...
16,3,1,Candidat_1,0,11,"java, javascript, typescript, react, kubernetes, aws, devops, ci/cd",42.66,27.27,20.0,33.51,❌ Écarté,Votre prochain défi professionnel se trouve dans un poste stratégique en dévelop...
16,4,5,Candidat_5,1,3,"machine learning, deep learning, devops",6.51,0.0,60.0,15.25,❌ Écarté,Votre prochain défi professionnel se trouve dans un poste stratégique en dévelop...
16,5,4,Candidat_4,5,0,,0.86,0.0,60.0,12.43,❌ Écarté,Votre prochain défi professionnel se trouve dans un poste stratégique en dévelop...
17,1,1,Candidat_1,5,10,"python, sql, azure, nlp, pandas, power bi, mysql, data analyst",52.89,50.0,60.0,53.45,🔶 À évaluer,Mission passionnante pour un Data Analyst chez notre entreprise de technologie. ...
17,2,4,Candidat_4,1,4,"sql, azure, machine learning, nlp",1.61,25.0,60.0,20.3,❌ Écarté,Mission passionnante pour un Data Analyst chez notre entreprise de technologie. ...
17,3,5,Candidat_5,1,3,"machine learning, deep learning, devops",8.64,0.0,60.0,16.32,❌ Écarté,Mission passionnante pour un Data Analyst chez notre entreprise de technologie. ...
17,4,3,Candidat_3,5,0,,0.0,0.0,60.0,12.0,❌ Écarté,Mission passionnante pour un Data Analyst chez notre entreprise de technologie. ...
17,5,2,Candidat_2,5,0,,0.0,0.0,60.0,12.0,❌ Écarté,Mission passionnante pour un Data Analyst chez notre entreprise de technologie. ...
18,1,1,Candidat_1,5,6,"docker, azure, terraform, git, devops, ci/cd",7.49,66.67,60.0,35.75,❌ Écarté,Mission passionnante pour un Ingénieur DevOps expérimenté chez notre entreprise ...
18,2,2,Candidat_2,1,3,"python, terraform, devops",4.89,66.67,60.0,34.45,❌ Écarté,Mission passionnante pour un Ingénieur DevOps expérimenté chez notre entreprise ...
18,3,5,Candidat_5,1,3,"machine learning, deep learning, devops",8.94,33.33,60.0,26.47,❌ Écarté,Mission passionnante pour un Ingénieur DevOps expérimenté chez notre entreprise ...
18,4,3,Candidat_3,2,7,"python, sql, java, git, postgresql, mongodb, mysql",12.3,14.29,60.0,22.44,❌ Écarté,Mission passionnante pour un Ingénieur DevOps expérimenté chez notre entreprise ...
18,5,4,Candidat_4,4,9,"node, fastapi, machine learning, deep learning, tensorflow, data science, devops, api",4.16,11.11,60.0,17.41,❌ Écarté,Mission passionnante pour un Ingénieur DevOps expérimenté chez notre entreprise ...
19,1,1,Candidat_1,1,5,"java, node, oracle, agile, scrum",72.65,20.0,60.0,54.33,🔶 À évaluer,Votre prochain défi professionnel est chez SkyGate en tant que développeur full-...
19,2,2,Candidat_2,2,5,"kubernetes, terraform, git, devops, ci/cd",51.18,40.0,60.0,49.59,🔶 À évaluer,Votre prochain défi professionnel est chez SkyGate en tant que développeur full-...
19,3,5,Candidat_5,1,3,"machine learning, deep learning, devops",7.7,33.33,60.0,25.85,❌ Écarté,Votre prochain défi professionnel est chez SkyGate en tant que développeur full-...
19,4,3,Candidat_3,10,6,"python, git, machine learning, data science, mlops, api",5.16,33.33,60.0,24.58,❌ Écarté,Votre prochain défi professionnel est chez SkyGate en tant que développeur full-...
19,5,4,Candidat_4,1,16,"python, flask, fastapi, spark, airflow, git, machine learning, deep learning",11.8,12.5,60.0,21.65,❌ Écarté,Votre prochain défi professionnel est chez SkyGate en tant que développeur full-...
20,1,1,Candidat_1,0,11,"java, javascript, typescript, react, kubernetes, aws, devops, ci/cd",42.42,36.36,20.0,36.12,❌ Écarté,Mission passionnante pour un ingénieur logiciel sénior expérimenté dans le domai...
20,2,5,Candidat_5,1,3,"machine learning, deep learning, devops",8.94,33.33,60.0,26.47,❌ Écarté,Mission passionnante pour un ingénieur logiciel sénior expérimenté dans le domai...
20,3,3,Candidat_3,1,6,"fastapi, machine learning, data science, data engineer, api, microservices",10.61,16.67,60.0,22.31,❌ Écarté,Mission passionnante pour un ingénieur logiciel sénior expérimenté dans le domai...
20,4,2,Candidat_2,2,12,"java, javascript, typescript, react, node, docker, git, mongodb",6.66,16.67,60.0,20.33,❌ Écarté,Mission passionnante pour un ingénieur logiciel sénior expérimenté dans le domai...
20,5,4,Candidat_4,2,1,rest,1.54,0.0,60.0,12.77,❌ Écarté,Mission passionnante pour un ingénieur logiciel sénior expérimenté dans le domai...
21,1,1,Candidat_1,1,2,"react, angular",67.25,100.0,60.0,75.62,✅ Retenu,Votre prochain défi professionnel en tant que développeur web full-stack chez un...
21,2,2,Candidat_2,3,6,"java, angular, vue, excel, scrum, api",62.77,66.67,60.0,63.39,🔶 À évaluer,Votre prochain défi professionnel en tant que développeur web full-stack chez un...
21,3,3,Candidat_3,5,6,"docker, azure, terraform, git, devops, ci/cd",2.93,16.67,60.0,18.47,❌ Écarté,Votre prochain défi professionnel en tant que développeur web full-stack chez un...
21,4,5,Candidat_5,1,3,"machine learning, deep learning, devops",7.57,0.0,60.0,15.79,❌ Écarté,Votre prochain défi professionnel en tant que développeur web full-stack chez un...
21,5,4,Candidat_4,1,4,"python, machine learning, nlp, data science",5.75,0.0,60.0,14.88,❌ Écarté,Votre prochain défi professionnel en tant que développeur web full-stack chez un...
22,1,1,Candidat_1,1,5,"java, node, oracle, agile, scrum",66.52,40.0,60.0,57.26,🔶 À évaluer,Mission passionnante pour un Ingénieur de Confiance de Site en tant que membre c...
22,2,2,Candidat_2,6,8,"kubernetes, aws, azure, terraform, git, machine learning, mlops, devops",15.25,25.0,60.0,27.12,❌ Écarté,Mission passionnante pour un Ingénieur de Confiance de Site en tant que membre c...
22,3,3,Candidat_3,2,1,devops,11.92,0.0,60.0,17.96,❌ Écarté,Mission passionnante pour un Ingénieur de Confiance de Site en tant que membre c...
22,4,4,Candidat_4,4,6,"spark, git, machine learning, deep learning, devops, rest",9.05,0.0,60.0,16.52,❌ Écarté,Mission passionnante pour un Ingénieur de Confiance de Site en tant que membre c...
22,5,5,Candidat_5,1,3,"machine learning, deep learning, devops",8.36,0.0,60.0,16.18,❌ Écarté,Mission passionnante pour un Ingénieur de Confiance de Site en tant que membre c...
23,1,1,Candidat_1,1,11,"python, docker, kubernetes, aws, azure, gcp, git, devops",13.54,9.09,60.0,21.5,❌ Écarté,Mission passionnante pour un architecte cloud expérimenté chez une entreprise le...
23,2,3,Candidat_3,6,10,"python, java, javascript, react, node, docker, git, linux",14.33,0.0,60.0,19.16,❌ Écarté,Mission passionnante pour un architecte cloud expérimenté chez une entreprise le...
23,3,4,Candidat_4,2,15,"sql, java, javascript, typescript, react, node, docker, aws",11.49,0.0,60.0,17.75,❌ Écarté,Mission passionnante pour un architecte cloud expérimenté chez une entreprise le...
23,4,2,Candidat_2,4,6,"python, docker, aws, terraform, data science, devops",1.42,16.67,60.0,17.71,❌ Écarté,Mission passionnante pour un architecte cloud expérimenté chez une entreprise le...
23,5,5,Candidat_5,1,3,"machine learning, deep learning, devops",8.41,0.0,60.0,16.2,❌ Écarté,Mission passionnante pour un architecte cloud expérimenté chez une entreprise le...
24,1,1,Candidat_1,4,6,"java, javascript, react, node, git, rest",51.85,50.0,60.0,52.92,🔶 À évaluer,Mission passionnante pour un développeur full-stack expérimenté chez une entrepr...
24,2,2,Candidat_2,2,4,"java, angular, vue, git",16.61,50.0,60.0,35.3,❌ Écarté,Mission passionnante pour un développeur full-stack expérimenté chez une entrepr...
24,3,3,Candidat_3,3,6,"java, react, aws, excel, data science, rest",11.34,16.67,60.0,22.67,❌ Écarté,Mission passionnante pour un développeur full-stack expérimenté chez une entrepr...
24,4,5,Candidat_5,1,3,"machine learning, deep learning, devops",9.88,0.0,60.0,16.94,❌ Écarté,Mission passionnante pour un développeur full-stack expérimenté chez une entrepr...
24,5,4,Candidat_4,5,0,,0.99,0.0,60.0,12.49,❌ Écarté,Mission passionnante pour un développeur full-stack expérimenté chez une entrepr...
25,1,5,Candidat_5,6,10,"sql, react, docker, git, redis, mysql, agile, scrum",49.69,0.0,60.0,36.84,❌ Écarté,Mission passionnante pour un Ingénieur en Intelligence Artificielle et Apprentis...
25,2,1,Candidat_1,10,6,"python, git, machine learning, data science, mlops, api",11.12,16.67,60.0,22.56,❌ Écarté,Mission passionnante pour un Ingénieur en Intelligence Artificielle et Apprentis...
25,3,4,Candidat_4,4,6,"aws, azure, terraform, git, devops, api",8.75,0.0,60.0,16.38,❌ Écarté,Mission passionnante pour un Ingénieur en Intelligence Artificielle et Apprentis...
25,4,2,Candidat_2,7,2,"vue, git",0.37,0.0,60.0,12.19,❌ Écarté,Mission passionnante pour un Ingénieur en Intelligence Artificielle et Apprentis...
25,5,3,Candidat_3,0,9,"python, fastapi, docker, kubernetes, git, devops, agile, api",5.6,11.11,20.0,10.13,❌ Écarté,Mission passionnante pour un Ingénieur en Intelligence Artificielle et Apprentis...
26,1,3,Candidat_3,3,4,"sql, node, git, data science",36.64,50.0,100.0,53.32,🔶 À évaluer,Mission passionnante pour un Ingénieur en Intelligence Artificielle expérimenté ...
26,2,1,Candidat_1,0,4,"excel, elasticsearch, devops, ci/cd",51.37,50.0,0.0,40.69,❌ Écarté,Mission passionnante pour un Ingénieur en Intelligence Artificielle expérimenté ...
26,3,2,Candidat_2,3,6,"java, react, aws, excel, data science, rest",7.86,50.0,100.0,38.93,❌ Écarté,Mission passionnante pour un Ingénieur en Intelligence Artificielle expérimenté ...
26,4,5,Candidat_5,1,3,"machine learning, deep learning, devops",10.79,33.33,50.0,25.39,❌ Écarté,Mission passionnante pour un Ingénieur en Intelligence Artificielle expérimenté ...
26,5,4,Candidat_4,1,0,,27.73,0.0,50.0,23.87,❌ Écarté,Mission passionnante pour un Ingénieur en Intelligence Artificielle expérimenté ...
27,1,2,Candidat_2,2,5,"kubernetes, terraform, git, devops, ci/cd",51.54,60.0,60.0,55.77,🔶 À évaluer,Votre prochain défi professionnel est un poste de Backend Engineer dans une entr...
27,2,1,Candidat_1,1,5,"java, node, oracle, agile, scrum",68.08,20.0,60.0,52.04,🔶 À évaluer,Votre prochain défi professionnel est un poste de Backend Engineer dans une entr...
27,3,5,Candidat_5,1,3,"machine learning, deep learning, devops",9.41,33.33,60.0,26.7,❌ Écarté,Votre prochain défi professionnel est un poste de Backend Engineer dans une entr...
27,4,3,Candidat_3,6,3,"react, node, git",4.49,33.33,60.0,24.24,❌ Écarté,Votre prochain défi professionnel est un poste de Backend Engineer dans une entr...
27,5,4,Candidat_4,9,10,"python, java, javascript, django, flask, azure, machine learning, data science",8.02,10.0,60.0,19.01,❌ Écarté,Votre prochain défi professionnel est un poste de Backend Engineer dans une entr...
28,1,1,Candidat_1,4,8,"sql, java, javascript, angular, git, postgresql, oracle, api",54.01,25.0,60.0,46.5,🔶 À évaluer,Votre prochain défi professionnel chez un leader de l'industrie des systèmes emb...
28,2,2,Candidat_2,10,6,"python, git, machine learning, data science, mlops, api",5.8,16.67,60.0,19.9,❌ Écarté,Votre prochain défi professionnel chez un leader de l'industrie des systèmes emb...
28,3,4,Candidat_4,2,16,"sql, java, javascript, typescript, react, angular, node, aws",2.91,18.75,60.0,19.08,❌ Écarté,Votre prochain défi professionnel chez un leader de l'industrie des systèmes emb...
28,4,3,Candidat_3,4,9,"sql, docker, kubernetes, aws, terraform, git, excel, devops",1.85,11.11,60.0,16.26,❌ Écarté,Votre prochain défi professionnel chez un leader de l'industrie des systèmes emb...
28,5,5,Candidat_5,1,3,"machine learning, deep learning, devops",8.1,0.0,60.0,16.05,❌ Écarté,Votre prochain défi professionnel chez un leader de l'industrie des systèmes emb...
29,1,1,Candidat_1,1,2,"react, angular",62.37,50.0,60.0,58.19,🔶 À évaluer,Mission passionnante pour un développeur full stack chez notre entreprise ! Nous...
29,2,3,Candidat_3,11,6,"typescript, react, node, git, agile, api",8.01,66.67,60.0,36.01,❌ Écarté,Mission passionnante pour un développeur full stack chez notre entreprise ! Nous...
29,3,4,Candidat_4,1,16,"python, flask, fastapi, spark, airflow, git, machine learning, deep learning",11.85,12.5,60.0,21.68,❌ Écarté,Mission passionnante pour un développeur full stack chez notre entreprise ! Nous...
29,4,2,Candidat_2,0,9,"python, fastapi, docker, kubernetes, git, devops, agile, api",9.05,33.33,20.0,18.52,❌ Écarté,Mission passionnante pour un développeur full stack chez notre entreprise ! Nous...
29,5,5,Candidat_5,1,3,"machine learning, deep learning, devops",10.43,0.0,60.0,17.21,❌ Écarté,Mission passionnante pour un développeur full stack chez notre entreprise ! Nous...
30,1,1,Candidat_1,2,19,"python, java, javascript, react, angular, node, django, flask",54.9,26.32,60.0,47.35,🔶 À évaluer,Mission passionnante pour un développeur backend expérimenté. Nous recherchons u...
30,2,2,Candidat_2,3,9,"sql, java, angular, kafka, git, postgresql, mysql, api",40.08,0.0,60.0,32.04,❌ Écarté,Mission passionnante pour un développeur backend expérimenté. Nous recherchons u...
30,3,5,Candidat_5,1,3,"machine learning, deep learning, devops",7.94,33.33,60.0,25.97,❌ Écarté,Mission passionnante pour un développeur backend expérimenté. Nous recherchons u...
30,4,3,Candidat_3,30,12,"sql, java, typescript, angular, docker, kubernetes, git, ci/cd",10.98,25.0,60.0,24.99,❌ Écarté,Mission passionnante pour un développeur backend expérimenté. Nous recherchons u...
